** TWEETS **

1114568586: 5871
213880987: 897
2291383507: 2361
2360878495: 1739
2872270425: 56
2326954436: 98
2342655565: 2462
410016507: 2387
911959107590123520: 5355
391334182: 888
1473084361: 3181
3075990394: 711
1863514303: 1298
794439428185976832: 1814
4360802391: 20
70783289: 872
207233779: 2579
241621305: 92
566258312: 59
45013575: 69021
3147310571: 1590
3008074877: 82
268807486: 909
155820539: 1143
3351004205: 39
168670615: 704
929624193028820993: 57
35192739: 494
4286657254: 10
480557521: 3136
1146351084: 51
635833515: 4851
113035227: 6068
1087289087785123840: 4
20929745: 44
166199937: 1465
14101085: 11692
991601350394941441: 4159
524554152: 64
326894168: 8783
313819854: 12206
4200956129: 1000
510005387: 81
249817975: 555
263217800: 2651
226865782: 48
155544328: 5342
1570158704: 2083
83093494: 2026
1567888128: 5151
3379260160: 769
1052939105737351168: 14088
1190824687: 977
1113168701459718144: 807
870602522452520961: 93
3226151715: 5955
2992654283: 1113
267244493: 2069
1176094393780117507: 92
783315660394946560: 3123
492963267: 72
1075722904761974789: 98
182468304: 2516
533300962: 570
1049618506122219520: 3393
3607648335: 2228
4158886901: 1693
171666636: 52
45790684: 1170
3421106806: 795
819428059610746880: 1629
3363932933: 1385
71523791: 1405
217227463: 75
3010640649: 13
289437195: 40
2416100726: 59
1884163777: 2790
927551672: 29
226108836: 43
380808030: 38
109309136: 2847
436598886: 626
1450846628: 20
2831727421: 77
740978373770498048: 90615
1113606557781176320: 40
1087676829643821056: 42
1078956506: 69
1151073066321158144: 19
2240681125: 78
4851740650: 5954
1111096700: 57
1035518588: 873
555326714: 1432
2615587202: 63833
4896120545: 489
3067647501: 3002
2403298190: 1522
1114268798: 4370
2318110975: 41
1011486391: 1230
1043402114381348864: 3444
714171806: 2926
144604226: 3
186863412: 69
1124320844300394502: 406
1150769437: 35312
1174737178183831552: 84
1232118062: 32
2851493459: 960
12906862: 2281
143740566: 2284
2339427847: 5
1171342846135275521: 19
229010011: 1184
300849149: 61
380852058: 87
12824222: 1445
19002571: 16649
117563598: 87
1182670375785775106: 69
800798977: 12553
26483259: 825
76977773: 884
987617718345109505: 75
222786524: 1488
426836464: 3074
1145723037347733506: 31
916290706880286720: 1154
1667491819: 4151
309189123: 1158
984434180: 2256
124016777: 3577
135524004: 22
4501590255: 9
965007630: 17
266769090: 99
260665476: 865
2478191969: 83
476874364: 1636
286801383: 13362
399712757: 9823
923363820: 16
801184628: 16042
1005165965733257216: 1040
1182971484: 6263
3731977035: 957
238082483: 1401
1546036176: 8854
707872544053981185: 2553
338344907: 51
165934436: 2521
3166070885: 3419
2974359573: 36
470118871: 837
845969626269921280: 149817
217819308: 26
266078762: 53
2836531761: 40
3017581649: 3118
266110646: 57
247888588: 9691
98881207: 72
460499728: 33530
1086595769833017344: 73
4654836328: 4320
94062495: 2473
376095407: 33
209143029: 13500
137651427: 13874
182769174: 628
176349883: 13
274497844: 1951
198847800: 1363
43357362: 95
608023546: 98
256953263: 1303
522383033: 1074
97664948: 1049
1129839992375844866: 25
325774651: 1
4853128667: 74
2799625973: 7428
2978479203: 4683
3385725575: 88
3055168421: 3585
3337383365: 7020
203879659: 2482
1106485682468466688: 13
193791615: 2010
299315590: 21
138146538: 49
242343602: 2706
2300409494: 62
1059146312304812033: 6275
3949314495: 19
82340742: 2430
379072073: 38
487793584: 7027
2779175847: 23
275075816: 2164
884451497169256450: 978
3005389661: 1523
578889705: 38
847325940: 169616
3385811680: 95
565009911: 714
231483314: 3599
3030322627: 7342
393391330: 16
42411789: 4897
2397966944: 1906
3106771385: 624
120882443: 51
2308653811: 569
39208916: 1374
2307846715: 1210
3098000297: 1508
995444426116870144: 376
516087333: 45
4332914777: 57
3501494962: 9403
3165379271: 1450
542412153: 44
974726638960332800: 78
283943227: 554
1085590459714539520: 3944
847087711: 2807
333523839: 37
150048681: 5
103390169: 3998
2440960006: 4
1099125157: 5692
1490231790: 3215
251499639: 1270
2527671727: 71
147179398: 87
1003663765487980547: 37
1147765820: 80
1046725508615086081: 49
928744737917603840: 78
1181540085373849600: 83
717771415945146369: 1842
1920685718: 3047
188367161: 1795
130876768: 58
3374679425: 1650
827160231536844804: 3945
2962468619: 2763
74745652: 27
1123717029519876099: 26
149055195: 3085
1062116658729377792: 17
136666412: 5608
2848435451: 30
1359996282: 51
1179687264026279937: 40
711593651546226688: 11246
271826403: 745
71923914: 9792
37883400: 7500
744315993938341888: 6
256108583: 3738
137271051: 30422
2373853701: 22191
2849938000: 98
1154120960792027137: 718
916596837230043136: 12
2615685211: 1519
2424265676: 53
1168223417415479296: 26394
847833128: 1920
42852127: 2039
3151126193: 7
3989361167: 71
927977561933705216: 12610
850077291052969985: 5880
989704345: 28
975727547328729088: 62
33116044: 18
216310359: 553
2517663322: 1662
73897935: 45399
141594768: 6044
483328498: 824
286651300: 29
3152398361: 1551
596782192: 1111
636375967: 2137
1055135838751916032: 1239
3156038541: 1313
2870677361: 22314
1056850017611407360: 2629
3374892125: 29
902487847436943360: 89579
565830552: 9
3019733878: 35
1261633938: 530
70696919: 51
1194383365228703744: 449
425744974: 23
393901166: 66
1475334474: 3179
1394346374: 20263
1166809785183981573: 80
592950498: 5248
64193227: 2721
1019113203740168193: 3013
763100287028568064: 10872
794950647443550208: 72
1510686793: 74
289233222: 89
184777687: 1792
365393443: 17
302865927: 39
18241502: 4346
374433194: 1750
2315010628: 2222
367358872: 58
278268360: 1010
956563650831159302: 27
889205554660483073: 1731
1560386328: 3988
868626733: 18
1054297760588017664: 7
1154289788620562433: 29
1062644464257261568: 61
3065011714: 1604
1322905844: 59
242402914: 28
448378335: 43
734519526: 69190
111470963: 1427
928560036992995328: 630
1128291255958552586: 14
4849641466: 32
3920345835: 7363
206136780: 1577
265667733: 27
963759950387404803: 5117
109232491: 55
130529382: 2649
301618334: 85
332752204: 1083
533085897: 5021
87523503: 6480
3795506008: 86
8553322: 870
1102174406833520642: 451
91560739: 7809
968958328830349315: 3165
871271580978040832: 2830
426121231: 84
4284976889: 7
3058976559: 16
731097872012353536: 18
1058906293342269442: 6
45317102: 1390
967130310700929035: 3774
888441198628790273: 20
1045420633637761024: 52
345257174: 68
1614766778: 71
159506844: 59
76933378: 930
50960484: 2616
289384959: 1994
103533308: 92
384905321: 5700
1081350886969040897: 5442
2773804598: 61
286885829: 1673
950341134: 13
105302430: 1672
714913406952800256: 6163
4838961: 3141
253981141: 56
3389961405: 300
962693247540891649: 10568
1177970171790712834: 4421
64247981: 1007
196663706: 1695
1105765568253181952: 21776
26055286: 3575
602050222: 10019
3370994254: 4505
76682484: 22143
2304084603: 66487
256096821: 9877
889150730: 40
359582874: 1779
3246595731: 51
2310496585: 19659
2517251103: 1051
454019467: 267
197438433: 4779
19186720: 61
851471209: 46
849955489936965632: 2604
1100408021925023744: 11364
420880207: 2283
1039079605444005889: 514
2167214850: 37
125647054: 676
2393434206: 15101
3014327645: 3730
135528247: 17410
955561146869866496: 42776
110419154: 188
2974548051: 1808
708994729283874820: 6866
2704534508: 3150
930846320478380035: 7907
859475292846522372: 2606
247848211: 993
1120645185753497600: 3554
792008982172995584: 626
945238449061355520: 121910
911268427574235136: 25674
924328732378255360: 822
165484589: 5748
2983852931: 14022
99334028: 40
389741181: 2
842225316009541632: 2347
262695781: 32
302817720: 68
866815759: 30914
2782200055: 8842
1040279997414551553: 4233
118158373: 28
2229900836: 1283
281702229: 10089
601984237: 37
265929056: 73
1115346364303593473: 80
448086597: 1255
2162364882: 3271
247316126: 4854
3062282931: 46709
1079070983112282112: 3083
1134974510: 1741
182317674: 1674
1192420758443700224: 2634
1084537093278322692: 426
186598758: 1525
1470242179: 8823
1046738132161495041: 5
953439877: 292
218842625: 1144
2496133656: 1
268253898: 2
833302563906785284: 6247
4318639042: 2887
231778454: 34
720695378396516357: 972
3144652474: 13
436968056: 1663
18504718: 2261
25668422: 15
764788627129991170: 1207
3092291787: 3999
118631951: 1706
816057798: 2644
2826687104: 88
1352781744: 41
60232560: 74
599044918: 89
923938784118439948: 29
953983139248001025: 1374
4263805409: 20
2978116781: 3863
134814896: 15143
553106397: 30
3386261901: 95
1182287785522270222: 98
243591811: 64
261860968: 48
2398071481: 58
562832632: 5450
3091671616: 4637
2982697067: 17
1089170921645096961: 2573
426788072: 539
855820486311325697: 9932
1571031733: 33
291963550: 14560
307849464: 10768
1111444609: 4749
4804679967: 23
1179093332779311105: 16
4425388289: 12083
1124404916720685056: 22
435152094: 1411
1553521297: 5863

Length: 873


** RETWEETS **

2201623465: 7247
1118941682: 3914
257332880: 15318
204348114: 994
912745614823317504: 1358
48976307: 2757
1095238556530995200: 463
997890258011344896: 388
260788584: 2639
1146013092335239169: 161
241993704: 3543
805508913261146112: 3797
2379309613: 7528
2216589010: 1513
140034129: 558
2355076350: 5438
477907106: 3013
50982086: 4546
257669729: 754
848650907499859968: 1026
2599889528: 3335
3439292716: 504
68740712: 486
1121524997422448647: 1028
148331426: 1314
2395114743: 1831
917833712: 753
784574954: 1615
523386042: 1281
108994652: 448
2375743544: 1521
19923515: 837
535707261: 352
36626651: 4
72494826: 498
200194757: 1658
20509689: 3599
498722246: 815
1617531938: 966
19028805: 11412
3161302295: 6933
83784273: 5125
932321656416108544: 1389
1138929492288819200: 405
44898619: 106
1136340341311848453: 622
234113882: 16
143538142: 347
122353251: 171
4703390322: 995
482389606: 396
245118516: 1683
1092714738658828288: 934
501606977: 1190
411722888: 1607
789846117563428865: 583
2373804017: 1747
925360703812395008: 9335
226171288: 7804
102095809: 468
193050995: 673
816178: 1264
301308940: 2149
292464252: 473
132613373: 1312
3032171949: 4041
2308987453: 3923
601887686: 6701
854017534865092608: 1540
278955879: 277
552561770: 776
18979745: 1609
40900410: 8221
18097083: 2757
1976143068: 9
246982544: 63
3039268715: 1285
56321648: 23
2910853983: 18067
45544223: 249
15095537: 10578
149064381: 1437
249364478: 1239
38458062: 1726
2303221610: 2004
148867925: 4636
59749870: 2337
1400848982: 3631
2765834914: 742
237223544: 1992
326735453: 431
13494262: 10861
249122306: 3887
173541298: 2111
1102145773087744000: 195
1099251922152931329: 1732
268927636: 44
3127325711: 639
956944536273608704: 2497
160132562: 2873
2591051161: 5249
2785536912: 7648
84053338: 14927
748256028786032640: 6926
736284974878478337: 6197
1267843368: 3408
1635846486: 4308
163044710: 1016
94413714: 6657
117713581: 27
158342368: 751
300120714: 6443
11904592: 2168
238275157: 2237
357596883: 473
1043257282828615680: 2448
2423662292: 4828
2398162506: 3329
3020408320: 3443
1105212399441899521: 385
3019929155: 2560
605385136: 1815
2342348916: 5047
2866276162: 2939
2398071896: 3047
2373783606: 4788
91796121: 4681
49998704: 974
1903891723: 6908
3183558887: 2347
15133318: 4361
74205573: 4120
93929450: 1583
405180461: 2103
2760245053: 4619
163125655: 270
2951865143: 1797
905007924132663298: 1066
886542529457524736: 975
29270179: 2032
241043904: 997
181474229: 754
1926442338: 17
522108784: 10995
252203942: 459
2827819039: 4932
729203903158431744: 8
484049273: 54
423423050: 406
176767978: 1209
2558484630: 3919
47712472: 229
33245408: 3361
3065845793: 307
98639150: 5
3186884645: 1188
296456619: 2983
347292614: 1309
17618056: 3607
363696047: 962
282170016: 790
307013104: 48
2361481177: 747
3329036201: 4333
1324103340: 1141
447260411: 8269
17804233: 750
158658247: 8
14824411: 4728
858285742988161025: 2179
3293235461: 252
1321037714: 2140
391938617: 858
257450818: 2103
388161545: 733
288159350: 694
145969179: 1294
136359280: 1780
262163456: 471
311349742: 50
715982930561122305: 5345
494478539: 1587
365339642: 1878
977027892: 472
16579721: 1985
450488947: 1626
720786569792253952: 17
148819696: 725
3906310100: 4206
118453663: 40
2415685538: 2452
4185234041: 73
470648176: 56
393562501: 2070
301368474: 735
1211640481: 35
1178807533: 2947
4909929401: 629
262248282: 1023
300969753: 658
332305283: 1763
69060709: 2998
365392319: 2164
172129475: 2305
2956922693: 2891
71341401: 1752
4181148713: 22
725615203: 1290
338889569: 1861
2299803774: 3016
571948562: 1262
160831087: 2256
242796283: 2395
4119160593: 9
99052611: 2784
493507751: 731
798886004207783936: 16
1173373987726008321: 779
3019568698: 17
90725961: 2506
414892667: 65
1228358370: 51
317316779: 1352
368765699: 2210
212198795: 4
10242562: 7012
187864310: 2905
89543500: 6605
90848443: 78
84054978: 2513
100259974: 386
1855529960: 51
124568057: 679
19391273: 9
423309466: 1
1307618678: 38
799293029353984000: 3306
506297233: 24
3096575289: 551
237218780: 855
558982706: 7
879684894569484288: 2
1146724406309400577: 3
1654997503: 1592
738772361055461376: 3435
112134350: 1078
1471889304: 12
194517733: 10132
553469585: 42
293033743: 58
752439542859304960: 379
156717239: 7
2644901672: 66
392870735: 360
275661480: 681
618974206: 1278
452985859: 9228
3078012851: 792
2562977478: 39
63283022: 4443
499649876: 1996
2324417802: 2
425783717: 69
20585956: 1153
3005765446: 711
2574425520: 583
247670022: 30
2841840041: 10
1335304140: 1449
100332112: 6362
797028270: 1243
13169022: 1219
259409783: 1746
262749833: 24
904105908: 142
925676922838929408: 1661
402219133: 1320
766093159034195968: 6
399954373: 1731
378525757: 849
14273735: 1194
727897027464593411: 1283
16120227: 485
244627171: 1889
2350951542: 4
277018118: 1664
47975115: 598
153351659: 1745
36335926: 4066
258439147: 1754
177862974: 920
889391168353693697: 4468
216155757: 1301
405499878: 1310
788864262483615745: 7
378703097: 1283
94534362: 417
144865638: 1960
14304620: 2184
542031363: 19
239072447: 3167
276883917: 11
510203470: 3621
262170430: 1235
163635075: 929
210607838: 1044
542494722: 386
165415384: 346
270317095: 2329
166767045: 1
1121870430: 13
775304006616944640: 55167
1003771289092481025: 24
98101353: 1946
1168672320367538178: 3395
2300055003: 4
83573034: 695
64688134: 1624
218094642: 14
77963344: 2914
253788855: 2090
279030847: 1611
270827206: 1395
833696723939815424: 397
373931682: 2146
37743703: 4245
262597648: 1882
2351613030: 3304
286924859: 588
140020905: 1489
2746007144: 68
2454703666: 2655
274008249: 1007
69352638: 1198
529555322: 1032
262553207: 886
110250944: 1954
281539503: 1994
890901968646004736: 618
404265706: 1995
4354211962: 1227
18431025: 660
3101453933: 357
92762212: 440
493960916: 1059
103842381: 531
1874472991: 13
2288138575: 5101
2403280765: 29
2967547407: 2207
2371789428: 2832
3044851768: 1629
221406410: 1070
2301274694: 2793
3045358571: 858
2973664948: 13
3055001794: 2831
1577384395: 21833
2322314204: 65
2686076408: 808
3217538488: 1469
828867758: 4374
2329184163: 823
2523186290: 802
3041105807: 1812
3054128127: 621
2855434408: 17
161021621: 8285
3782549535: 9116
2541774798: 5054
2319411390: 2318
149621959: 5638
990889803032989696: 220
367942084: 27324
823882430234947586: 1776
789096753450651648: 506
1114568586: 1096
213880987: 351
2291383507: 1422
2360878495: 708
2872270425: 53
2326954436: 84
2342655565: 1718
410016507: 708
911959107590123520: 5228
391334182: 456
1473084361: 3180
3075990394: 546
1863514303: 1208
794439428185976832: 1661
4360802391: 18
70783289: 515
207233779: 1582
241621305: 50
566258312: 24
45013575: 9887
3147310571: 1215
3008074877: 68
268807486: 715
155820539: 276
3351004205: 33
168670615: 487
929624193028820993: 47
35192739: 442
4286657254: 4
480557521: 879
1146351084: 46
635833515: 1275
113035227: 3606
1087289087785123840: 4
20929745: 22
166199937: 1054
14101085: 198
991601350394941441: 4015
524554152: 24
326894168: 2436
313819854: 890
4200956129: 365
510005387: 32
249817975: 134
263217800: 1236
226865782: 31
155544328: 2760
1570158704: 252
83093494: 1252
1567888128: 4689
3379260160: 586
1052939105737351168: 8714
1190824687: 804
1113168701459718144: 612
870602522452520961: 56
3226151715: 5705
2992654283: 989
267244493: 621
1176094393780117507: 44
783315660394946560: 44
492963267: 12
1075722904761974789: 11
182468304: 2427
533300962: 272
1049618506122219520: 3032
3607648335: 1601
4158886901: 1253
171666636: 30
45790684: 807
3421106806: 741
819428059610746880: 1017
3363932933: 791
71523791: 703
217227463: 58
3010640649: 4
289437195: 21
2416100726: 34
1884163777: 1101
927551672: 24
226108836: 41
380808030: 6
109309136: 96
436598886: 27
1450846628: 9
2831727421: 32
740978373770498048: 84246
1113606557781176320: 33
1087676829643821056: 12
1078956506: 68
1151073066321158144: 6
2240681125: 56
4851740650: 5731
1111096700: 46
1035518588: 305
555326714: 1136
2615587202: 62583
4896120545: 400
3067647501: 2056
2403298190: 470
1114268798: 3179
2318110975: 40
1011486391: 946
1043402114381348864: 2917
714171806: 2722
144604226: 3
186863412: 69
1124320844300394502: 401
1150769437: 34750
1174737178183831552: 60
1232118062: 29
2851493459: 640
12906862: 1895
143740566: 2011
2339427847: 1
1171342846135275521: 14
229010011: 445
300849149: 26
380852058: 32
12824222: 1132
19002571: 11444
117563598: 70
1182670375785775106: 68
800798977: 12192
26483259: 609
76977773: 648
987617718345109505: 43
222786524: 1351
426836464: 2829
1145723037347733506: 24
916290706880286720: 1106
1667491819: 397
309189123: 551
984434180: 1591
124016777: 2674
135524004: 14
4501590255: 4
965007630: 17
266769090: 90
260665476: 575
2478191969: 49
476874364: 1360
286801383: 2294
399712757: 4646
923363820: 16
801184628: 948
1005165965733257216: 827
1182971484: 5898
3731977035: 301
238082483: 289
1546036176: 15
707872544053981185: 639
338344907: 44
165934436: 1118
3166070885: 3159
2974359573: 36
470118871: 826
845969626269921280: 143489
217819308: 8
266078762: 31
2836531761: 14
3017581649: 3115
266110646: 44
247888588: 6003
98881207: 40
460499728: 28782
1086595769833017344: 45
4654836328: 123
94062495: 982
376095407: 4
209143029: 55
137651427: 84
182769174: 384
176349883: 12
274497844: 1475
198847800: 783
43357362: 56
608023546: 86
256953263: 37
522383033: 976
97664948: 727
1129839992375844866: 10
325774651: 1
4853128667: 15
2799625973: 6720
2978479203: 2786
3385725575: 58
3055168421: 2765
3337383365: 2792
203879659: 1247
1106485682468466688: 3
193791615: 1639
299315590: 20
138146538: 38
242343602: 2607
2300409494: 29
1059146312304812033: 2562
3949314495: 16
82340742: 11
379072073: 32
487793584: 6783
2779175847: 6
275075816: 1972
884451497169256450: 966
3005389661: 1435
578889705: 33
847325940: 168030
3385811680: 7
565009911: 355
231483314: 154
3030322627: 7259
393391330: 15
42411789: 14
2397966944: 1119
3106771385: 24
120882443: 39
2308653811: 279
39208916: 448
2307846715: 846
3098000297: 617
995444426116870144: 210
516087333: 9
4332914777: 47
3501494962: 241
3165379271: 1024
542412153: 15
974726638960332800: 78
283943227: 534
1085590459714539520: 3251
847087711: 773
333523839: 24
150048681: 3
103390169: 2297
2440960006: 1
1099125157: 5528
1490231790: 2116
251499639: 1084
2527671727: 59
147179398: 85
1003663765487980547: 5
1147765820: 79
1046725508615086081: 31
928744737917603840: 74
1181540085373849600: 55
717771415945146369: 1412
1920685718: 2413
188367161: 491
130876768: 10
3374679425: 791
827160231536844804: 2152
2962468619: 756
74745652: 16
1123717029519876099: 18
149055195: 2677
1062116658729377792: 11
136666412: 1809
2848435451: 30
1359996282: 24
1179687264026279937: 13
711593651546226688: 786
271826403: 455
71923914: 5204
37883400: 1997
744315993938341888: 6
256108583: 1524
137271051: 29079
2373853701: 22091
2849938000: 57
1154120960792027137: 523
916596837230043136: 12
2615685211: 1438
2424265676: 3
1168223417415479296: 22558
847833128: 1
42852127: 1441
3151126193: 7
3989361167: 67
927977561933705216: 12035
850077291052969985: 5749
989704345: 20
975727547328729088: 51
33116044: 17
216310359: 538
2517663322: 456
73897935: 35272
141594768: 5563
483328498: 790
286651300: 20
3152398361: 528
596782192: 1029
636375967: 2093
1055135838751916032: 8
3156038541: 845
2870677361: 21290
1056850017611407360: 1701
3374892125: 20
